Sno,Molecule,Frequency (cm-1),IR Intensity,vibrational_modes
1,H2O,1602.4404,66.726,3
1,H2O,3818.7954,9.221,3
1,H2O,3923.8993,56.9043,3
2,HCl,2935.1088,31.6799,1
3,C2H2,647.7657,0,7
3,C2H2,647.7657,0,7
3,C2H2,773.0654,112.0336,7
3,C2H2,773.0654,112.0336,7
3,C2H2,2060.9941,0,7
3,C2H2,3419.0415,93.9355,7
3,C2H2,3521.7347,0,7
4,NH3,1007.0419,213.4591,6
4,NH3,1669.1521,28.2914,6
4,NH3,1669.1521,28.2917,6
4,NH3,3479.1393,2.2441,6
4,NH3,3605.857,3.5642,6
4,NH3,3605.857,3.5643,6
5,C2H3NO,157.4151,133.6159,15
5,C2H3NO,231.2535,1.9679,15
5,C2H3NO,358.9677,2.0934,15
5,C2H3NO,575.0584,6.0382,15
5,C2H3NO,895.7209,15.5753,15
5,C2H3NO,1023.9287,2.0417,15
5,C2H3NO,1065.3334,104.3673,15
5,C2H3NO,1241.1295,67.966,15
5,C2H3NO,1261.2552,0.0005,15
5,C2H3NO,1448.281,11.7904,15
5,C2H3NO,1497.0843,4.371,15
5,C2H3NO,2367.9426,0.3634,15
5,C2H3NO,2999.3245,29.4981,15
5,C2H3NO,3028.8713,13.8017,15
5,C2H3NO,3835.2533,51.1017,15
6,H2SO,969.7491,0.5514,6
6,H2SO,1027.4766,115.4733,6
6,H2SO,1065.5302,44.1119,6
6,H2SO,1211.8739,28.1686,6
6,H2SO,2313.9534,109.9748,6
6,H2SO,2323.4029,152.4441,6
7,HCN,764.1525,42.3637,4
7,HCN,764.1525,42.3637,4
7,HCN,2196.7104,1.9294,4
7,HCN,3455.8705,67.2513,4
8,HCOH,1202.325,4.6847,6
8,HCOH,1259.6472,9.3297,6
8,HCOH,1531.0059,9.2123,6
8,HCOH,1814.5055,123.2095,6
8,HCOH,2883.5868,72.0977,6
8,HCOH,2941.3597,136.0263,6
9,HCONH2,233.9942,234.8571,12
9,HCONH2,568.2668,10.5373,12
9,HCONH2,635.2907,16.9352,12
9,HCONH2,1037.9105,2.6132,12
9,HCONH2,1053.2318,5.4851,12
9,HCONH2,1262.4619,116.994,12
9,HCONH2,1416.7556,6.5296,12
9,HCONH2,1618.2377,62.2385,12
9,HCONH2,1790.3545,465.4832,12
9,HCONH2,2944.3856,103.9669,12
9,HCONH2,3578.3147,35.5715,12
9,HCONH2,3715.2346,45.0783,12
10,HNO,1565.5766,3.6016,3
10,HNO,1671.9978,92.8331,3
10,HNO,2855.9553,160.3029,3
11,(C2H5O)2,97.7298,0,39
11,(C2H5O)2,105.9368,5.254,39
11,(C2H5O)2,192.0525,0.7611,39
11,(C2H5O)2,246.6946,0,39
11,(C2H5O)2,252.3259,1.3789,39
11,(C2H5O)2,433.5868,2.9868,39
